index,source,label_pattern,primitive_kind,value,sigma,unit,matches,involves_hydrogen,role
1,BDPCS3_bond,"R(1,2)",distance,1.52243,0.003,angstrom,1,0,structural_prior
2,BDPCS3_bond,"R(1,6)",distance,1.551200003,0.003,angstrom,1,0,structural_prior
3,BDPCS3_bond,"R(1,7)",distance,1.554030002,0.003,angstrom,1,0,structural_prior
4,BDPCS3_bond,"R(1,9)",distance,1.506810007,0.003,angstrom,1,0,structural_prior
5,BDPCS3_bond,"R(2,3)",distance,1.527620005,0.003,angstrom,1,0,structural_prior
6,BDPCS3_bond,"R(2,8)",distance,1.206249999,0.003,angstrom,1,0,structural_prior
7,BDPCS3_bond,"R(3,4)",distance,1.532459992,0.003,angstrom,1,0,structural_prior
8,BDPCS3_CH_bond,"R(3,10)",distance,1.089659998,0.003,angstrom,1,1,hydrogen_frame
9,BDPCS3_CH_bond,"R(3,11)",distance,1.089169998,0.003,angstrom,1,1,hydrogen_frame
10,BDPCS3_bond,"R(4,5)",distance,1.536339991,0.003,angstrom,1,0,structural_prior
11,BDPCS3_bond,"R(4,7)",distance,1.5504479,0.003,angstrom,1,0,structural_prior
12,BDPCS3_CH_bond,"R(4,12)",distance,1.089250007,0.003,angstrom,1,1,hydrogen_frame
13,BDPCS3_bond,"R(5,6)",distance,1.549840074,0.003,angstrom,1,0,structural_prior
14,BDPCS3_CH_bond,"R(5,15)",distance,1.088100002,0.003,angstrom,1,1,hydrogen_frame
15,BDPCS3_CH_bond,"R(5,16)",distance,1.089060001,0.003,angstrom,1,1,hydrogen_frame
16,BDPCS3_CH_bond,"R(6,17)",distance,1.089759998,0.003,angstrom,1,1,hydrogen_frame
17,BDPCS3_CH_bond,"R(6,18)",distance,1.089389991,0.003,angstrom,1,1,hydrogen_frame
18,BDPCS3_bond,"R(7,13)",distance,1.524150001,0.003,angstrom,1,0,structural_prior
19,BDPCS3_bond,"R(7,14)",distance,1.527470003,0.003,angstrom,1,0,structural_prior
20,BDPCS3_CH_bond,"R(9,19)",distance,1.089629998,0.003,angstrom,1,1,hydrogen_frame
21,BDPCS3_CH_bond,"R(9,20)",distance,1.090229994,0.003,angstrom,1,1,hydrogen_frame
22,BDPCS3_CH_bond,"R(9,21)",distance,1.089409997,0.003,angstrom,1,1,hydrogen_frame
23,BDPCS3_CH_bond,"R(13,25)",distance,1.086790007,0.003,angstrom,1,1,hydrogen_frame
24,BDPCS3_CH_bond,"R(13,26)",distance,1.090429995,0.003,angstrom,1,1,hydrogen_frame
25,BDPCS3_CH_bond,"R(13,27)",distance,1.091489998,0.003,angstrom,1,1,hydrogen_frame
26,BDPCS3_CH_bond,"R(14,22)",distance,1.088640002,0.003,angstrom,1,1,hydrogen_frame
27,BDPCS3_CH_bond,"R(14,23)",distance,1.091120003,0.003,angstrom,1,1,hydrogen_frame
28,BDPCS3_CH_bond,"R(14,24)",distance,1.090169995,0.003,angstrom,1,1,hydrogen_frame
29,BDPCS3_angle,"A(2,1,6)",angle,103.1130001,0.3,degree,1,0,structural_prior
30,BDPCS3_angle,"A(2,1,7)",angle,100.384,0.3,degree,1,0,structural_prior
31,BDPCS3_angle,"A(2,1,9)",angle,114.4610001,0.3,degree,1,0,structural_prior
32,BDPCS3_angle,"A(6,1,7)",angle,102.0525774,0.3,degree,1,0,structural_prior
33,BDPCS3_angle,"A(6,1,9)",angle,115.1961918,0.3,degree,1,0,structural_prior
34,BDPCS3_angle,"A(7,1,9)",angle,119.2661256,0.3,degree,1,0,structural_prior
35,BDPCS3_angle,"A(1,2,3)",angle,106.564,0.3,degree,1,0,structural_prior
36,BDPCS3_angle,"A(1,2,8)",angle,126.9099998,0.3,degree,1,0,structural_prior
37,BDPCS3_angle,"A(3,2,8)",angle,126.5239527,0.3,degree,1,0,structural_prior
38,BDPCS3_angle,"A(2,3,4)",angle,101.7329998,0.3,degree,1,0,structural_prior
39,BDPCS3_H_angle,"A(2,3,10)",angle,110.6059997,0.3,degree,1,1,hydrogen_frame
40,BDPCS3_H_angle,"A(2,3,11)",angle,109.3179997,0.3,degree,1,1,hydrogen_frame
41,BDPCS3_H_angle,"A(4,3,10)",angle,113.8957089,0.3,degree,1,1,hydrogen_frame
42,BDPCS3_H_angle,"A(4,3,11)",angle,113.5895974,0.3,degree,1,1,hydrogen_frame
43,BDPCS3_H_angle,"A(10,3,11)",angle,107.5741455,0.3,degree,1,1,hydrogen_frame
44,BDPCS3_angle,"A(3,4,5)",angle,106.4900005,0.3,degree,1,0,structural_prior
45,BDPCS3_angle,"A(3,4,7)",angle,102.5794188,0.3,degree,1,0,structural_prior
46,BDPCS3_H_angle,"A(3,4,12)",angle,114.3769998,0.3,degree,1,1,hydrogen_frame
47,BDPCS3_angle,"A(5,4,7)",angle,102.6510988,0.3,degree,1,0,structural_prior
48,BDPCS3_H_angle,"A(5,4,12)",angle,114.5200685,0.3,degree,1,1,hydrogen_frame
49,BDPCS3_H_angle,"A(7,4,12)",angle,114.8330665,0.3,degree,1,1,hydrogen_frame
50,BDPCS3_angle,"A(4,5,6)",angle,102.7110508,0.3,degree,1,0,structural_prior
51,BDPCS3_H_angle,"A(4,5,15)",angle,110.705001,0.3,degree,1,1,hydrogen_frame
52,BDPCS3_H_angle,"A(4,5,16)",angle,111.3910005,0.3,degree,1,1,hydrogen_frame
53,BDPCS3_H_angle,"A(6,5,15)",angle,111.8756471,0.3,degree,1,1,hydrogen_frame
54,BDPCS3_H_angle,"A(6,5,16)",angle,112.421617,0.3,degree,1,1,hydrogen_frame
55,BDPCS3_H_angle,"A(15,5,16)",angle,107.7506486,0.3,degree,1,1,hydrogen_frame
56,BDPCS3_angle,"A(1,6,5)",angle,104.3594184,0.3,degree,1,0,structural_prior
57,BDPCS3_H_angle,"A(1,6,17)",angle,111.2379996,0.3,degree,1,1,hydrogen_frame
58,BDPCS3_H_angle,"A(1,6,18)",angle,109.3580002,0.3,degree,1,1,hydrogen_frame
59,BDPCS3_H_angle,"A(5,6,17)",angle,112.9764971,0.3,degree,1,1,hydrogen_frame
60,BDPCS3_H_angle,"A(5,6,18)",angle,111.8851459,0.3,degree,1,1,hydrogen_frame
61,BDPCS3_H_angle,"A(17,6,18)",angle,107.0412616,0.3,degree,1,1,hydrogen_frame
62,BDPCS3_angle,"A(1,7,4)",angle,94.17295357,0.3,degree,1,0,structural_prior
63,BDPCS3_angle,"A(1,7,13)",angle,114.0470001,0.3,degree,1,0,structural_prior
64,BDPCS3_angle,"A(1,7,14)",angle,113.0199997,0.3,degree,1,0,structural_prior
65,BDPCS3_angle,"A(4,7,13)",angle,113.5857466,0.3,degree,1,0,structural_prior
66,BDPCS3_angle,"A(4,7,14)",angle,113.8818172,0.3,degree,1,0,structural_prior
67,BDPCS3_angle,"A(13,7,14)",angle,107.8612323,0.3,degree,1,0,structural_prior
68,BDPCS3_H_angle,"A(1,9,19)",angle,111.2619996,0.3,degree,1,1,hydrogen_frame
69,BDPCS3_H_angle,"A(1,9,20)",angle,110.9089998,0.3,degree,1,1,hydrogen_frame
70,BDPCS3_H_angle,"A(1,9,21)",angle,110.2779993,0.3,degree,1,1,hydrogen_frame
71,BDPCS3_H_angle,"A(19,9,20)",angle,108.6107445,0.3,degree,1,1,hydrogen_frame
72,BDPCS3_H_angle,"A(19,9,21)",angle,107.2882936,0.3,degree,1,1,hydrogen_frame
73,BDPCS3_H_angle,"A(20,9,21)",angle,108.3724741,0.3,degree,1,1,hydrogen_frame
74,BDPCS3_H_angle,"A(7,13,25)",angle,113.4799998,0.3,degree,1,1,hydrogen_frame
75,BDPCS3_H_angle,"A(7,13,26)",angle,110.3789998,0.3,degree,1,1,hydrogen_frame
76,BDPCS3_H_angle,"A(7,13,27)",angle,109.8169997,0.3,degree,1,1,hydrogen_frame
77,BDPCS3_H_angle,"A(25,13,26)",angle,110.9114248,0.3,degree,1,1,hydrogen_frame
78,BDPCS3_H_angle,"A(25,13,27)",angle,104.4703855,0.3,degree,1,1,hydrogen_frame
79,BDPCS3_H_angle,"A(26,13,27)",angle,107.4600862,0.3,degree,1,1,hydrogen_frame
80,BDPCS3_H_angle,"A(7,14,22)",angle,113.4430002,0.3,degree,1,1,hydrogen_frame
81,BDPCS3_H_angle,"A(7,14,23)",angle,110.3049994,0.3,degree,1,1,hydrogen_frame
82,BDPCS3_H_angle,"A(7,14,24)",angle,110.2039999,0.3,degree,1,1,hydrogen_frame
83,BDPCS3_H_angle,"A(22,14,23)",angle,107.9231687,0.3,degree,1,1,hydrogen_frame
84,BDPCS3_H_angle,"A(22,14,24)",angle,107.2231244,0.3,degree,1,1,hydrogen_frame
85,BDPCS3_H_angle,"A(23,14,24)",angle,107.5177855,0.3,degree,1,1,hydrogen_frame
86,BDPCS3_dihedral,"D(6,1,2,3)",dihedral,109.0969999,0.5,degree,1,0,structural_prior
87,BDPCS3_dihedral,"D(6,1,2,8)",dihedral,-71.39899996,0.5,degree,1,0,structural_prior
88,BDPCS3_dihedral,"D(7,1,2,3)",dihedral,-145.7940001,0.5,degree,1,0,structural_prior
89,BDPCS3_dihedral,"D(7,1,2,8)",dihedral,33.71000006,0.5,degree,1,0,structural_prior
90,BDPCS3_dihedral,"D(9,1,2,3)",dihedral,-16.79000014,0.5,degree,1,0,structural_prior
91,BDPCS3_dihedral,"D(9,1,2,8)",dihedral,162.714,0.5,degree,1,0,structural_prior
92,BDPCS3_dihedral,"D(2,1,6,5)",dihedral,-108.3142549,0.5,degree,1,0,structural_prior
93,BDPCS3_H_dihedral,"D(2,1,6,17)",dihedral,129.5590006,0.3,degree,1,1,hydrogen_frame
94,BDPCS3_H_dihedral,"D(2,1,6,18)",dihedral,11.5379998,0.3,degree,1,1,hydrogen_frame
95,BDPCS3_dihedral,"D(7,1,6,5)",dihedral,147.8594211,0.5,degree,1,0,structural_prior
96,BDPCS3_H_dihedral,"D(7,1,6,17)",dihedral,25.7326766,0.3,degree,1,1,hydrogen_frame
97,BDPCS3_H_dihedral,"D(7,1,6,18)",dihedral,-92.2883242,0.3,degree,1,1,hydrogen_frame
98,BDPCS3_dihedral,"D(9,1,6,5)",dihedral,17.09849526,0.5,degree,1,0,structural_prior
99,BDPCS3_H_dihedral,"D(9,1,6,17)",dihedral,-105.0282492,0.3,degree,1,1,hydrogen_frame
100,BDPCS3_H_dihedral,"D(9,1,6,18)",dihedral,136.95075,0.3,degree,1,1,hydrogen_frame
101,BDPCS3_dihedral,"D(2,1,7,4)",dihedral,126.7036098,0.5,degree,1,0,structural_prior
102,BDPCS3_dihedral,"D(2,1,7,13)",dihedral,8.547999723,0.5,degree,1,0,structural_prior
103,BDPCS3_dihedral,"D(2,1,7,14)",dihedral,-115.1289999,0.5,degree,1,0,structural_prior
104,BDPCS3_dihedral,"D(6,1,7,4)",dihedral,-127.3358818,0.5,degree,1,0,structural_prior
105,BDPCS3_dihedral,"D(6,1,7,13)",dihedral,114.5085082,0.5,degree,1,0,structural_prior
106,BDPCS3_dihedral,"D(6,1,7,14)",dihedral,-9.168491436,0.5,degree,1,0,structural_prior
107,BDPCS3_dihedral,"D(9,1,7,4)",dihedral,0.8826814162,0.5,degree,1,0,structural_prior
108,BDPCS3_dihedral,"D(9,1,7,13)",dihedral,-117.2729286,0.5,degree,1,0,structural_prior
109,BDPCS3_dihedral,"D(9,1,7,14)",dihedral,119.0500717,0.5,degree,1,0,structural_prior
110,BDPCS3_H_dihedral,"D(2,1,9,19)",dihedral,119.1940004,0.3,degree,1,1,hydrogen_frame
111,BDPCS3_H_dihedral,"D(2,1,9,20)",dihedral,-1.820000207,0.3,degree,1,1,hydrogen_frame
112,BDPCS3_H_dihedral,"D(2,1,9,21)",dihedral,-121.877,0.3,degree,1,1,hydrogen_frame
113,BDPCS3_H_dihedral,"D(6,1,9,19)",dihedral,-0.1121553455,0.3,degree,1,1,hydrogen_frame
114,BDPCS3_H_dihedral,"D(6,1,9,20)",dihedral,-121.126156,0.3,degree,1,1,hydrogen_frame
115,BDPCS3_H_dihedral,"D(6,1,9,21)",dihedral,118.8168442,0.3,degree,1,1,hydrogen_frame
