variant,n_predicates,n_bonds,n_angles,n_dihedrals,n_h_predicates,uses_kraitchman,kraitchman_partial
ref_no_kra_full_validation,178,28,57,93,114,0,0
coord_cartesian_symmetry,178,28,57,93,114,0,0
observable_rotational_constants,178,28,57,93,114,0,0
components_AB,178,28,57,93,114,0,0
components_AC,178,28,57,93,114,0,0
components_BC,178,28,57,93,114,0,0
robust_huber,178,28,57,93,114,0,0
robust_soft_l1,178,28,57,93,114,0,0
all_sigmas_x0p5,178,28,57,93,114,0,0
all_sigmas_x2,178,28,57,93,114,0,0
all_sigmas_x3,178,28,57,93,114,0,0
ch_bonds_x0p5,178,28,57,93,114,0,0
ch_bonds_x2,178,28,57,93,114,0,0
h_angles_dihedrals_x0p5,178,28,57,93,114,0,0
h_angles_dihedrals_x2,178,28,57,93,114,0,0
no_h_dihedral_predicates,116,28,57,31,52,0,0
no_dihedral_predicates,85,28,57,0,52,0,0
no_h_predicates,64,12,21,31,0,0,0
heavy_frame_only,64,12,21,31,0,0,0
bonds_angles_only,85,28,57,0,52,0,0
bonds_only,28,28,0,0,16,0,0
kraitchman_conservative_autostabilized,0,0,0,0,0,1,0
kraitchman_partial_autostabilized,0,0,0,0,0,1,1
kraitchman_partial_cartesian_autostabilized,0,0,0,0,0,1,1
kraitchman_partial_no_auto,0,0,0,0,0,1,1
bdpcs3_plus_kraitchman_partial_tight,178,28,57,93,114,1,1
bdpcs3_plus_kraitchman_partial_broad,178,28,57,93,114,1,1
