label,kind,source,kraitchman_value,bdpcs3_value,difference,unit
"R(1,2)",R,kraitchman_seed_distance,1.48007443923,1.52243,-42.35556076999991,mA
"R(1,6)",R,kraitchman_seed_distance,1.54890422486,1.551200003,-2.2957781399999266,mA
"R(1,7)",R,kraitchman_seed_distance,1.5628368169,1.554030002,8.806814900000015,mA
"R(1,9)",R,kraitchman_seed_distance,1.52552789737,1.506810007,18.717890370000045,mA
"R(2,3)",R,kraitchman_seed_distance,1.54852671826,1.527620005,20.906713260000043,mA
"R(2,8)",R,kraitchman_seed_distance,1.19474682073,1.206249999,-11.503178269999914,mA
"R(3,4)",R,kraitchman_seed_distance,1.53101248919,1.532459992,-1.4475028099998344,mA
"R(3,10)",R,kraitchman_seed_distance,1.05705871762,1.089659998,-32.601280379999984,mA
"R(3,11)",R,kraitchman_seed_distance,1.12514853087,1.089169998,35.97853286999997,mA
"R(4,5)",R,kraitchman_seed_distance,1.48700293785,1.536339991,-49.33705314999992,mA
"R(4,7)",R,kraitchman_seed_distance,1.55771372539,1.5504479,7.26582538999998,mA
"R(4,12)",R,kraitchman_seed_distance,1.08752312332,1.089250007,-1.7268836799999576,mA
"R(5,6)",R,kraitchman_seed_distance,1.59924413062,1.549840074,49.40405662000003,mA
"R(5,15)",R,kraitchman_seed_distance,1.07152419867,1.088100002,-16.575803330000085,mA
"R(5,16)",R,kraitchman_seed_distance,1.11590946807,1.089060001,26.84946706999991,mA
"R(6,17)",R,kraitchman_seed_distance,1.06899280325,1.089759998,-20.767194749999884,mA
"R(6,18)",R,kraitchman_seed_distance,1.12281210161,1.089389991,33.42211060999989,mA
"R(7,13)",R,kraitchman_seed_distance,1.58589274761,1.524150001,61.74274661000001,mA
"R(7,14)",R,kraitchman_seed_distance,1.49702631314,1.527470003,-30.443689860000013,mA
"R(9,19)",R,kraitchman_seed_distance,1.01246217484,1.089629998,-77.16782315999993,mA
"R(9,20)",R,kraitchman_seed_distance,1.105076427,1.090229994,14.846432999999992,mA
"R(9,21)",R,kraitchman_seed_distance,1.15304741302,1.089409997,63.63741601999995,mA
"R(13,25)",R,kraitchman_seed_distance,0.994030453557,1.086790007,-92.75955344300002,mA
"R(13,26)",R,kraitchman_seed_distance,1.10700377386,1.090429995,16.573778859999997,mA
"R(13,27)",R,kraitchman_seed_distance,1.14351259167,1.091489998,52.02259367000006,mA
"R(14,22)",R,kraitchman_seed_distance,1.1108558925,1.088640002,22.215890500000057,mA
"R(14,23)",R,kraitchman_seed_distance,1.10168966706,1.091120003,10.56966406000015,mA
"R(14,24)",R,kraitchman_seed_distance,1.05276989537,1.090169995,-37.40009962999991,mA
"A(2,1,6)",A,kraitchman_seed_angle,102.763889419,103.1130001,-0.3491106810000133,deg
"A(2,1,7)",A,kraitchman_seed_angle,101.264547936,100.384,0.8805479359999993,deg
"A(2,1,9)",A,kraitchman_seed_angle,113.586675261,114.4610001,-0.8743248389999962,deg
"A(6,1,7)",A,kraitchman_seed_angle,103.5376284,102.0525774,1.4850509999999986,deg
"A(6,1,9)",A,kraitchman_seed_angle,117.340236583,115.1961918,2.1440447830000267,deg
"A(7,1,9)",A,kraitchman_seed_angle,116.23287502,119.2661256,-3.033250580000015,deg
"A(1,2,3)",A,kraitchman_seed_angle,106.075474591,106.564,-0.4885254089999762,deg
"A(1,2,8)",A,kraitchman_seed_angle,129.441707236,126.9099998,2.5317074360000333,deg
"A(3,2,8)",A,kraitchman_seed_angle,124.131559714,126.5239527,-2.3923929860000044,deg
"A(2,3,4)",A,kraitchman_seed_angle,101.531517178,101.7329998,-0.20148262200001454,deg
"A(2,3,10)",A,kraitchman_seed_angle,113.698682937,110.6059997,3.092683237000017,deg
"A(2,3,11)",A,kraitchman_seed_angle,108.008113385,109.3179997,-1.309886315,deg
"A(4,3,10)",A,kraitchman_seed_angle,115.358924169,113.8957089,1.4632152689999884,deg
"A(4,3,11)",A,kraitchman_seed_angle,110.745163064,113.5895974,-2.844434336000006,deg
"A(10,3,11)",A,kraitchman_seed_angle,107.291236511,107.5741455,-0.2829089890000205,deg
"A(3,4,5)",A,kraitchman_seed_angle,106.528802538,106.4900005,0.03880203800000004,deg
"A(3,4,7)",A,kraitchman_seed_angle,102.588018597,102.5794188,0.00859979699998803,deg
"A(3,4,12)",A,kraitchman_seed_angle,115.992688517,114.3769998,1.6156887170000118,deg
"A(5,4,7)",A,kraitchman_seed_angle,103.973364728,102.6510988,1.3222659280000073,deg
"A(5,4,12)",A,kraitchman_seed_angle,112.703810774,114.5200685,-1.8162577260000035,deg
"A(7,4,12)",A,kraitchman_seed_angle,113.846211873,114.8330665,-0.9868546270000138,deg
"A(4,5,6)",A,kraitchman_seed_angle,102.494410239,102.7110508,-0.2166405609999913,deg
"A(4,5,15)",A,kraitchman_seed_angle,116.008271611,110.705001,5.303270611000016,deg
"A(4,5,16)",A,kraitchman_seed_angle,113.200845355,111.3910005,1.8098448549999944,deg
"A(6,5,15)",A,kraitchman_seed_angle,110.865366995,111.8756471,-1.0102801049999925,deg
"A(6,5,16)",A,kraitchman_seed_angle,106.928058724,112.421617,-5.4935582759999875,deg
"A(15,5,16)",A,kraitchman_seed_angle,106.999028856,107.7506486,-0.7516197440000099,deg
"A(1,6,5)",A,kraitchman_seed_angle,102.664681102,104.3594184,-1.6947372980000068,deg
"A(1,6,17)",A,kraitchman_seed_angle,113.353597284,111.2379996,2.115597684000022,deg
"A(1,6,18)",A,kraitchman_seed_angle,109.115169747,109.3580002,-0.2428304530000105,deg
"A(5,6,17)",A,kraitchman_seed_angle,115.739410212,112.9764971,2.7629131119999784,deg
"A(5,6,18)",A,kraitchman_seed_angle,109.758228658,111.8851459,-2.1269172419999904,deg
"A(17,6,18)",A,kraitchman_seed_angle,106.125150296,107.0412616,-0.9161113039999975,deg
"A(1,7,4)",A,kraitchman_seed_angle,93.1448218458,94.17295357,-1.0281317242000227,deg
"A(1,7,13)",A,kraitchman_seed_angle,110.075537323,114.0470001,-3.9714627769999993,deg
"A(1,7,14)",A,kraitchman_seed_angle,113.464771203,113.0199997,0.44477150299999835,deg
"A(4,7,13)",A,kraitchman_seed_angle,111.331269631,113.5857466,-2.2544769689999953,deg
"A(4,7,14)",A,kraitchman_seed_angle,117.151044729,113.8818172,3.2692275290000055,deg
"A(13,7,14)",A,kraitchman_seed_angle,110.531513962,107.8612323,2.670281662000008,deg
"A(1,9,19)",A,kraitchman_seed_angle,114.9681554,111.2619996,3.7061558000000048,deg
"A(1,9,20)",A,kraitchman_seed_angle,110.189617089,110.9089998,-0.7193827110000086,deg
"A(1,9,21)",A,kraitchman_seed_angle,106.228472011,110.2779993,-4.049527289000025,deg
"A(19,9,20)",A,kraitchman_seed_angle,113.376596151,108.6107445,4.765851650999991,deg
"A(19,9,21)",A,kraitchman_seed_angle,108.091446456,107.2882936,0.803152855999997,deg
"A(20,9,21)",A,kraitchman_seed_angle,103.003462998,108.3724741,-5.369011102000002,deg
"A(7,13,25)",A,kraitchman_seed_angle,117.756346587,113.4799998,4.276346786999994,deg
"A(7,13,26)",A,kraitchman_seed_angle,106.540414048,110.3789998,-3.838585752,deg
"A(7,13,27)",A,kraitchman_seed_angle,103.634910381,109.8169997,-6.182089318999999,deg
"A(25,13,26)",A,kraitchman_seed_angle,117.099896764,110.9114248,6.188471963999973,deg
"A(25,13,27)",A,kraitchman_seed_angle,107.12918147,104.4703855,2.65879597,deg
"A(26,13,27)",A,kraitchman_seed_angle,102.814380887,107.4600862,-4.645705313000008,deg
"A(7,14,22)",A,kraitchman_seed_angle,111.28604401,113.4430002,-2.1569561900000167,deg
"A(7,14,23)",A,kraitchman_seed_angle,109.130764635,110.3049994,-1.1742347649999942,deg
"A(7,14,24)",A,kraitchman_seed_angle,112.786671501,110.2039999,2.5826716010000155,deg
"A(22,14,23)",A,kraitchman_seed_angle,105.62027147,107.9231687,-2.302897229999985,deg
"A(22,14,24)",A,kraitchman_seed_angle,108.291708594,107.2231244,1.0685841939999818,deg
"A(23,14,24)",A,kraitchman_seed_angle,109.467000331,107.5177855,1.9492148310000061,deg
