slug,name,atoms,level,path
1_2_3_thiadiazole,"1,2,3-thiadiazole",7,SE,"xyz/1,2,3-thiadiazole.xyz"
1_2_4_thiadiazole,"1,2,4-thiadiazole",7,SE,"xyz/1,2,4-thiadiazole.xyz"
1_2_5_thiadiazole,"1,2,5-thiadiazole",7,SE,"xyz/1,2,5-thiadiazole.xyz"
1_3_4_oxadiazole,"1,3,4-oxadiazole",7,SE,"xyz/1,3,4-oxadiazole.xyz"
1_3_4_thiadiazole,"1,3,4-thiadiazole",7,SE,"xyz/1,3,4-thiadiazole.xyz"
1_chloro_1_fluoroethene,1-chloro-1-fluoroethene,6,SE,xyz/1-chloro-1-fluoroethene.xyz
1_chloro_2_2_difluoroethene,"1-chloro-2,2-difluoroethene",6,SE,"xyz/1-chloro-2,2-difluoroethene.xyz"
1_chloro_2_fluoroethene,1-chloro-2-fluoroethene,6,SE,xyz/1-chloro-2-fluoroethene.xyz
1_phosphapropyne,1-phosphapropyne,6,SE,xyz/1-phosphapropyne.xyz
2_fluoropyridine,2-fluoropyridine,11,SE,xyz/2-fluoropyridine.xyz
2_thiouracil,2-thiouracil,12,SE,xyz/2-thiouracil.xyz
3_fluoropyridine,3-fluoropyridine,11,SE,xyz/3-fluoropyridine.xyz
allene,allene,7,SE,xyz/allene.xyz
aminoacetonitrile,aminoacetonitrile,8,SE,xyz/aminoacetonitrile.xyz
ammonia,ammonia,4,SE,xyz/ammonia.xyz
aziridine,aziridine,8,SE,xyz/aziridine.xyz
benzene,benzene,12,SE,xyz/benzene.xyz
benzonitrile,benzonitrile,13,SE,xyz/benzonitrile.xyz
borane_ammonia,borane ammonia,8,SE,xyz/borane ammonia.xyz
borinic_acid,borinic acid,5,SE,xyz/borinic acid.xyz
butadiene,butadiene,10,SE,xyz/butadiene.xyz
butadiyne,butadiyne,6,SE,xyz/butadiyne.xyz
carbon_dioxide,carbon dioxide,3,SE,xyz/carbon dioxide.xyz
chlorodifluoromethane,chlorodifluoromethane,5,SE,xyz/chlorodifluoromethane.xyz
chlorofluoromethane,chlorofluoromethane,5,SE,xyz/chlorofluoromethane.xyz
cis_1_chloro_2_fluoroethylene,cis-1-chloro-2-fluoroethylene,6,SE,xyz/cis-1-chloro-2-fluoroethylene.xyz
cis_acrolein,cis-acrolein,8,SE,xyz/cis-acrolein.xyz
cis_formic_acid,cis-formic acid,5,SE,xyz/cis-formic acid.xyz
cis_hexatriene,cis-hexatriene,,SE,xyz/cis-hexatriene.xyz
cis_methyl_formate,cis-methyl formate,8,SE,xyz/cis-methyl formate.xyz
cyclobutene,cyclobutene,10,SE,xyz/cyclobutene.xyz
cyclohexane,cyclohexane,18,SE,xyz/cyclohexane.xyz
cyclopropane,cyclopropane,9,SE,xyz/cyclopropane.xyz
cyclopropenone,cyclopropenone,6,SE,xyz/cyclopropenone.xyz
dichlorodifluoromethane,dichlorodifluoromethane,5,SE,xyz/dichlorodifluoromethane.xyz
difluoromethane,difluoromethane,5,SE,xyz/difluoromethane.xyz
dihydroxyborane,dihydroxyborane,6,SE,xyz/dihydroxyborane.xyz
dimethyl_ether,dimethyl ether,9,SE,xyz/dimethyl ether.xyz
dimethyl_sulfoxide,dimethyl sulfoxide,10,SE,xyz/dimethyl sulfoxide.xyz
dimethylsulfide,dimethylsulfide,9,SE,xyz/dimethylsulfide.xyz
dioxirane,dioxirane,5,SE,xyz/dioxirane.xyz
ethene,ethene,6,SE,xyz/ethene.xyz
ethenol,ethenol,7,SE,xyz/ethenol.xyz
ethyne,ethyne,4,SE,xyz/ethyne.xyz
fluoroboranol,fluoroboranol,5,SE,xyz/fluoroboranol.xyz
formaldehyde_oxide,formaldehyde oxide,5,SE,xyz/formaldehyde oxide.xyz
