case_id,label,polarity,noise_category,noise_representation,noise_amplitude_angstrom,temperature_kelvin,correct_state_fraction,false_promotion_rate,false_splitting_rate,flip_rate_without_hysteresis,flip_rate_with_hysteresis,handoff_delay_frames,minimum_signed_margin,strict_group,proposed_group,topology_hash,state_hash,audit_status,ordinary_runtime_seconds,ensemble_runtime_seconds,perturbation_count,local_distance_tolerance_angstrom
water_exact,exact C2v water positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,1e-05,,1.0,0.0,0.0,0.0,0.0,3,0.0009999999999994592,C2v,C2v,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,7cf33e61990ab966838ceefc766ee7fd2f14f237de0f0ea9969b3fc49b382bbb,ROBUST,0.009488458978012204,0.07472337502986193,8,0.001
water_exact,exact C2v water positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0001,,1.0,0.0,0.0,0.0,0.0,3,0.0009999999999994592,C2v,C2v,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,7cf33e61990ab966838ceefc766ee7fd2f14f237de0f0ea9969b3fc49b382bbb,ROBUST,0.009471041965298355,0.07493566698394716,8,0.001
water_exact,exact C2v water positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0005,,1.0,0.0,0.25,0.875,0.0,3,0.0009999999999994592,C2v,C2v,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,7cf33e61990ab966838ceefc766ee7fd2f14f237de0f0ea9969b3fc49b382bbb,AMBIGUOUS,0.009400541079230607,0.09051754104439169,8,0.001
water_quasi,quasi-symmetric water requiring an explicit decision,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,1e-05,,1.0,0.0,0.0,0.0,0.0,3,0.000999999999999906,Cs,C2v,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,62255ff73492902eadbc070c06b42d8c303a8d3d791e75f0798c0f1ad9d24a69,ROBUST,0.01281387498602271,0.10241841699462384,8,0.001
water_quasi,quasi-symmetric water requiring an explicit decision,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0001,,1.0,0.0,0.0,0.0,0.0,3,0.000999999999999906,Cs,C2v,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,62255ff73492902eadbc070c06b42d8c303a8d3d791e75f0798c0f1ad9d24a69,ROBUST,0.012878458946943283,0.10373383306432515,8,0.001
water_quasi,quasi-symmetric water requiring an explicit decision,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0005,,1.0,0.0,0.25,0.375,0.0,3,0.000999999999999906,Cs,C2v,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,62255ff73492902eadbc070c06b42d8c303a8d3d791e75f0798c0f1ad9d24a69,AMBIGUOUS,0.012487749918363988,0.09902258310467005,8,0.001
water_asymmetric,asymmetric water negative promotion control,NEGATIVE,NUMERICAL_GEOMETRIC,BOUND,1e-05,,1.0,0.0,0.0,0.0,0.0,3,0.0009999999999999987,Cs,Cs,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,bcc05ed74f3dd1826f2f14c07e57faa3211d99f8a72eebbca47feff345a52382,ROBUST,0.007575207971967757,0.06014399998821318,8,0.001
water_asymmetric,asymmetric water negative promotion control,NEGATIVE,NUMERICAL_GEOMETRIC,BOUND,0.0001,,1.0,0.0,0.0,0.0,0.0,3,0.0009999999999999987,Cs,Cs,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,bcc05ed74f3dd1826f2f14c07e57faa3211d99f8a72eebbca47feff345a52382,ROBUST,0.007577375043183565,0.06002545903902501,8,0.001
water_asymmetric,asymmetric water negative promotion control,NEGATIVE,NUMERICAL_GEOMETRIC,BOUND,0.0005,,1.0,0.0,0.0,0.0,0.0,3,0.0009999999999999987,Cs,Cs,2f8a60db9a4e183719b7c95d105707fc1b1e28c7665e16b1912b1c590e113c62,bcc05ed74f3dd1826f2f14c07e57faa3211d99f8a72eebbca47feff345a52382,ROBUST,0.007330625085160136,0.0589844579808414,8,0.001
methane_td,tetrahedral methane local-equivalence positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,1e-05,,1.0,0.0,0.0,0.125,0.125,3,0.001,Td,Td,81d6a242a652c466a1e6e709a390b0894fa70a8ab8bee3ee6a0fb02c568ec5a2,f877c3cd88498d8678f9c52b85e96549277d779bb1dd2d96b66dbf3ea342c9b0,ROBUST,0.053076624986715615,0.36316574993543327,8,0.001
methane_td,tetrahedral methane local-equivalence positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0001,,1.0,0.0,0.0,0.125,0.125,3,0.001,Td,Td,81d6a242a652c466a1e6e709a390b0894fa70a8ab8bee3ee6a0fb02c568ec5a2,f877c3cd88498d8678f9c52b85e96549277d779bb1dd2d96b66dbf3ea342c9b0,ROBUST,0.05234737507998943,0.35973333299625665,8,0.001
methane_td,tetrahedral methane local-equivalence positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0005,,0.75,0.0,0.25,0.625,0.125,6,0.001,Td,Td,81d6a242a652c466a1e6e709a390b0894fa70a8ab8bee3ee6a0fb02c568ec5a2,f877c3cd88498d8678f9c52b85e96549277d779bb1dd2d96b66dbf3ea342c9b0,AMBIGUOUS,0.0519161670235917,0.4448282499797642,8,0.001
sf6_distorted,distorted octahedral SF6 local-template positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,1e-05,,1.0,0.0,0.0,0.0,0.0,3,0.001,C1,Ci,d2aecd89890a192df7224e01d0a78f0471813efadc4e5210ef669dec740c548a,953bd732d0298bd4efd2d9dac22bc21560bd3379f6036c6fa52fc39d47a329c7,ROBUST,0.01640533294994384,0.12832725001499057,8,0.05
sf6_distorted,distorted octahedral SF6 local-template positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0001,,1.0,0.0,0.0,0.0,0.0,3,0.001,C1,Ci,d2aecd89890a192df7224e01d0a78f0471813efadc4e5210ef669dec740c548a,953bd732d0298bd4efd2d9dac22bc21560bd3379f6036c6fa52fc39d47a329c7,ROBUST,0.01599870901554823,0.12795975001063198,8,0.05
sf6_distorted,distorted octahedral SF6 local-template positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,0.0005,,1.0,0.0,0.0,0.25,0.0,3,0.001,C1,Ci,d2aecd89890a192df7224e01d0a78f0471813efadc4e5210ef669dec740c548a,953bd732d0298bd4efd2d9dac22bc21560bd3379f6036c6fa52fc39d47a329c7,AMBIGUOUS,0.015968833002261817,0.1269686659798026,8,0.05
zrf8_square_antiprismatic,square-antiprismatic ZrF8 local-template positive control,POSITIVE,NUMERICAL_GEOMETRIC,BOUND,1e-05,,0.75,0.0,0.0,0.75,0.5,5,0.0009993116759171158,D4d,D4d,d327e6afb5fe63194358bb5a4df5f9324d6ffd3ca220651a8d222c5abb9ad5ef,69ee3b898d79520059018727c4e40e1658cfa7b640f997abd978d0ac9b2721ab,AMBIGUOUS,0.05383533297572285,0.4560658329864964,8,0.001
